sample,temperature_c
411,17.789
412,18.447
413,18.997
414,18.322
415,18.413
416,18.714
417,18.697
418,17.870
419,18.460
420,17.716
421,17.146
422,17.171
423,16.640
424,16.857
425,17.052
426,17.572
427,17.979
428,16.385
429,17.239
430,16.499
431,17.242
432,16.934
433,16.089
434,17.483
435,16.740
436,16.809
437,16.584
438,16.843
439,17.445
440,17.207
441,17.545
442,17.649
443,18.225
444,17.498
445,17.045
446,18.438
447,17.867
448,18.727
449,18.505
450,18.399
451,18.796
452,19.762
453,19.995
454,19.167
455,19.394
456,20.038
457,19.268
458,20.053
459,20.074
460,20.447
461,20.080
462,19.911
463,19.881
464,20.573
465,21.118
466,21.418
467,22.751
468,22.553
469,21.737
470,22.610
471,22.449
472,22.726
473,23.175
474,23.604
475,23.334
476,24.242
477,23.342
478,24.116
479,25.608
480,24.612
481,25.403
482,24.914
483,25.334
484,25.186
485,25.293
486,25.146
487,25.902
488,25.404
489,26.300
490,26.638
491,26.400
492,26.187
493,26.662
494,26.377
495,27.087
496,25.783
497,26.601
498,25.834
499,26.134
500,27.606
501,27.405
502,26.621
503,26.244
504,25.518
505,26.723
506,28.191
507,27.175
508,26.644
509,27.114
510,26.049
511,26.620
512,26.748
513,26.576
514,26.927
515,26.607
516,26.664
517,25.873
518,26.545
519,26.781
520,25.345
521,25.243
522,26.203
523,25.282
524,25.916
525,24.823
526,25.595
527,24.752
528,24.629
529,25.091
530,23.932
531,23.443
532,23.486
533,23.730
534,22.511
535,23.401
536,22.599
537,23.227
538,21.239
539,21.825
540,21.157
541,21.369
542,21.688
543,21.258
544,21.005
545,20.838
546,20.808
547,19.992
548,20.643
549,20.418
550,20.079
551,19.970
552,19.648
553,20.331
554,19.089
555,18.803
556,18.409
557,18.106
558,17.842
559,17.869
560,18.134
561,18.200
562,17.930
563,17.400
564,18.120
565,17.935
566,17.389
567,17.054
568,17.576
569,17.325
570,16.446
571,17.085
572,17.207
573,16.593
574,17.114
575,16.277
576,17.668
577,17.629
578,16.893
579,17.225
580,15.871
581,16.540
582,17.023
583,16.695
584,17.659
585,18.379
586,16.880
587,17.146
588,17.788
589,18.589
590,17.293
591,18.158
592,19.080
593,17.488
594,17.824
595,18.410
596,18.526
597,19.362
598,19.253
599,18.426
600,19.758
601,19.402
602,20.524
603,19.773
604,19.972
605,20.767
606,21.087
607,21.142
608,20.289
609,21.616
610,21.047
611,21.900
612,21.288
613,22.441
614,22.032
615,22.011
616,23.225
617,23.203
618,22.987
619,24.229
620,23.490
621,23.929
622,24.248
623,23.999
624,24.736
625,24.420
626,24.662
627,25.725
628,24.694
629,24.172
630,26.341
631,26.961
632,25.628
633,24.998
634,25.941
635,26.074
636,26.235
637,25.878
638,26.821
639,26.882
640,25.951
641,27.118
642,27.856
643,26.967
644,26.755
645,26.886
646,27.289
647,26.130
648,27.082
649,26.800
650,27.905
651,26.870
652,27.758
653,26.330
654,27.123
655,26.928
656,26.264
657,26.708
658,27.138
659,26.273
660,25.484
661,26.208
662,25.645
663,25.796
664,25.789
665,24.834
666,24.728
667,25.619
668,24.953
669,23.761
670,25.260
671,24.823
672,24.143
673,23.650
674,24.531
675,24.088
676,24.901
677,23.714
678,23.488
679,22.999
680,23.277
681,22.965
682,23.062
683,21.957
684,21.782
685,21.542
686,21.960
687,22.097
688,20.902
689,20.705
690,20.863
691,20.374
692,20.766
693,18.961
694,19.474
695,19.300
696,18.340
697,18.832
698,18.675
699,18.856
700,19.343
701,18.500
702,17.949
703,18.285
704,18.694
705,17.545
706,17.449
707,18.062
708,17.559
709,17.889
710,17.462
711,17.731
712,16.784
713,17.225
714,17.065
715,16.511
716,16.294
717,17.386
718,16.844
719,16.494
720,16.952
721,17.569
722,15.879
723,16.294
724,16.615
725,17.849
726,17.312
727,17.615
728,16.731
729,16.821
730,17.692
731,17.594
732,17.944
733,17.689
734,18.043
735,18.112
736,18.559
737,18.717
738,17.655
739,17.498
740,19.287
741,19.550
742,18.622
743,18.384
744,19.550
745,20.157
746,20.786
747,20.345
748,20.104
749,20.050
750,20.712
751,20.768
752,20.624
753,22.372
754,22.457
755,22.350
756,21.540
757,22.646
758,22.756
759,22.874
760,23.493
761,23.400
762,23.664
763,23.822
764,23.880
765,23.022
766,24.155
767,24.031
768,23.860
769,25.527
770,25.732
771,25.723
772,25.342
773,26.053
774,25.542
775,25.788
776,25.283
777,26.165
778,26.126
779,25.566
780,26.305
781,26.395
782,27.430
783,27.067
784,26.704
785,26.893
786,26.852
787,26.780
788,26.383
789,26.882
790,26.608
791,26.370
792,27.256
793,27.191
794,26.088
795,26.896
796,27.422
797,27.411
798,27.343
799,26.788
800,26.276
801,26.078
802,26.704
803,26.625
804,26.974
805,26.767
806,26.030
807,25.345
808,25.671
809,25.795
810,25.434
811,25.089
812,25.340
813,24.792
814,24.554
815,24.842
816,24.299
817,24.431
818,24.250
819,23.344
820,23.469
821,24.222
822,22.713
823,22.024
824,21.937
825,22.667
826,22.451
827,22.159
828,22.607
829,20.445
830,21.762
831,22.128
832,20.568
833,20.728
834,20.329
835,20.049
836,20.127
837,20.800
838,20.806
839,19.523
840,20.453
841,19.331
842,20.009
843,18.910
844,18.852
845,18.805
846,20.054
847,18.739
848,17.816
849,18.518
850,17.723
851,17.538
852,18.124
853,17.580
854,17.608
855,17.388
856,17.470
857,17.444
858,16.202
859,17.452
860,16.585
861,16.322
862,16.990
863,17.047
864,16.653
865,17.420
866,16.348
867,16.839
868,16.784
869,17.095
870,17.310
871,16.727
872,17.664
873,17.412
874,16.522
875,16.586
876,17.664
877,17.673
878,17.853
879,18.019
880,18.283
881,18.787
882,17.909
883,18.036
884,18.239
885,19.101
886,19.755
887,19.098
888,18.249
889,18.839
890,19.470
891,19.808
892,20.086
893,20.516
894,20.550
895,21.442
896,20.794
897,20.916
898,21.804
899,21.014
900,22.195
901,22.269
902,22.362
903,23.447
904,22.557
905,24.112
906,23.181
907,22.865
908,23.745
909,23.375
910,23.737
911,24.507
912,24.778
913,24.375
914,25.362
915,25.623
916,25.932
917,25.643
918,26.217
919,24.746
920,25.671
921,25.533
922,26.155
923,25.931
924,26.247
925,27.376
926,26.447
927,26.826
928,26.582
929,26.806
930,26.833
931,27.106
932,27.507
933,27.781
934,27.136
935,27.290
936,26.425
937,26.951
938,27.451
939,27.390
940,27.030
941,27.325
942,27.075
943,27.369
944,26.843
945,26.442
946,26.699
947,24.970
948,26.522
949,24.393
950,25.234
951,26.193
952,26.069
953,25.105
954,25.179
955,26.063
956,24.972
957,26.165
958,24.867
959,24.891
960,25.308
961,24.374
962,23.612
963,23.859
964,23.692
965,22.821
966,23.166
967,22.711
968,23.330
969,22.670
970,22.294
971,22.165
972,22.112
973,22.090
974,21.064
975,20.827
976,21.684
977,20.712
978,19.997
979,20.718
980,20.522
981,19.321
982,20.002
983,20.059
984,19.687
985,19.629
986,18.430
987,19.122
988,18.635
989,18.381
990,18.900
991,19.053
992,19.067
993,18.691
994,17.849
995,17.959
996,18.053
997,17.626
998,17.534
999,17.792
1000,17.272
1001,16.867
1002,16.963
1003,17.435
1004,17.077
1005,17.213
